County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Sweetwater County, Wyoming",6.5,35.5,27.3,10.8,12.4,4.5,90.5,56,037
"Platte County, Wyoming",5.1,35.0,26.1,11.7,11.3,7.5,91.7,56,031
"Sheridan County, Wyoming",4.5,31.4,28.1,9.9,16.3,8.4,94.1,56,033
"Big Horn County, Wyoming",7.4,31.7,29.6,9.3,13.2,5.8,89.5,56,003
"Crook County, Wyoming",5.7,36.0,23.7,9.2,14.5,8.4,91.9,56,011
"Park County, Wyoming",5.0,28.6,26.9,9.2,18.2,10.0,92.9,56,029
"Albany County, Wyoming",3.3,16.1,21.8,9.2,27.8,20.2,95.0,56,001
"Carbon County, Wyoming",6.1,37.6,26.1,10.1,12.2,5.0,90.9,56,007
"Goshen County, Wyoming",6.4,33.1,26.0,9.7,15.2,6.3,90.3,56,015
"Uinta County, Wyoming",8.3,33.6,28.4,8.8,12.7,5.7,89.1,56,041
"Washakie County, Wyoming",7.2,31.1,26.6,9.1,15.4,7.2,89.4,56,043
"Hot Springs County, Wyoming",7.8,33.5,27.3,7.6,12.7,7.1,88.1,56,017
"Fremont County, Wyoming",7.0,27.5,30.2,10.8,13.6,7.8,89.8,56,013
"Sublette County, Wyoming",3.9,27.4,28.0,13.7,15.7,9.8,94.6,56,035
"Weston County, Wyoming",7.0,41.2,26.2,5.9,14.3,4.1,91.7,56,045
"Guayanilla Municipio, Puerto Rico",,,,,,,,72,059
"Juncos Municipio, Puerto Rico",,,,,,,,72,077
"Sabana Grande Municipio, Puerto Rico",,,,,,,,72,121
"Adjuntas Municipio, Puerto Rico",,,,,,,,72,001
"Guánica Municipio, Puerto Rico",,,,,,,,72,055
"Manatí Municipio, Puerto Rico",,,,,,,,72,091
"Naguabo Municipio, Puerto Rico",,,,,,,,72,103
"Lewis County, New York",9.2,47.7,15.4,10.1,8.3,5.4,86.9,36,049
"Westchester County, New York",5.9,22.4,14.3,6.1,22.5,22.0,87.3,36,119
"Delaware County, New York",9.1,38.5,18.9,10.6,10.5,8.3,86.8,36,025
"Montgomery County, New York",12.0,36.7,17.8,12.4,9.4,7.0,83.2,36,057
"Richmond County, New York",7.5,33.4,17.9,7.2,17.4,11.6,87.4,36,085
"St. Lawrence County, New York",8.8,37.8,17.6,12.0,9.7,9.2,86.4,36,089
"Tompkins County, New York",5.7,20.8,14.3,7.6,20.8,29.0,92.6,36,109
"Warren County, New York",7.0,32.8,18.3,11.7,16.2,11.7,90.6,36,113
"Cortland County, New York",7.5,35.9,17.5,12.1,14.1,9.9,89.6,36,023
"Dutchess County, New York",6.9,29.2,18.0,10.0,18.0,14.0,89.2,36,027
"Monroe County, New York",7.7,25.2,17.3,10.8,20.1,15.2,88.6,36,055
"Oneida County, New York",8.5,33.5,19.7,11.4,13.1,8.7,86.4,36,065
"Ulster County, New York",8.5,29.4,19.5,9.7,15.6,13.7,87.9,36,111
"Chemung County, New York",9.4,36.8,19.0,11.3,11.6,9.1,87.9,36,015
"Livingston County, New York",8.5,34.3,18.2,12.5,13.1,10.2,88.2,36,051
