County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID,Full County ID,Year
"Petersburg Borough, Alaska",7.0,31.9,22.1,8.2,22.0,5.6,89.7,02,195,02195,2018
"Kusilvak Census Area, Alaska",14.8,53.6,16.6,2.7,3.3,1.5,77.7,02,158,02158,2018
"Maricopa County, Arizona",6.7,22.6,24.4,8.5,20.3,11.7,87.4,04,013,04013,2018
"Graham County, Arizona",9.9,29.9,30.2,10.3,9.7,5.6,85.6,04,009,04009,2018
"Santa Cruz County, Arizona",12.7,27.2,21.6,5.8,13.7,7.3,75.6,04,023,04023,2018
"La Paz County, Arizona",14.4,33.0,26.3,5.7,8.3,4.1,77.3,04,012,04012,2018
"Mohave County, Arizona",10.5,34.8,29.5,8.1,8.4,4.5,85.3,04,015,04015,2018
"Coconino County, Arizona",6.2,21.4,23.6,9.0,21.1,14.5,89.6,04,005,04005,2018
"Yavapai County, Arizona",7.0,25.7,29.6,9.8,15.0,10.2,90.3,04,025,04025,2018
"Greenlee County, Arizona",7.2,36.2,31.3,9.6,9.2,2.7,89.0,04,011,04011,2018
"Pinal County, Arizona",9.2,29.7,27.4,9.4,12.1,6.9,85.4,04,021,04021,2018
"Nevada County, Arkansas",8.9,43.8,19.6,8.0,10.5,4.9,86.8,05,099,05099,2018
"Cross County, Arkansas",11.0,41.5,19.4,6.4,8.4,7.0,82.8,05,037,05037,2018
"Dallas County, Arkansas",12.0,43.4,20.5,6.1,10.8,2.9,83.6,05,039,05039,2018
"Columbia County, Arkansas",10.1,39.9,19.3,5.2,13.0,7.6,85.0,05,027,05027,2018
"Saline County, Arkansas",6.8,31.5,24.3,8.5,16.8,9.2,90.4,05,125,05125,2018
"Van Buren County, Arkansas",10.0,43.9,21.5,6.3,8.1,6.0,85.8,05,141,05141,2018
"Izard County, Arkansas",8.5,37.8,23.0,10.6,9.9,3.9,85.1,05,065,05065,2018
"Independence County, Arkansas",9.0,35.8,23.0,8.0,12.1,6.8,85.8,05,063,05063,2018
"Logan County, Arkansas",10.0,45.0,21.4,6.6,8.3,3.8,85.1,05,083,05083,2018
"Grant County, Arkansas",6.3,44.2,21.5,7.5,11.6,6.7,91.5,05,053,05053,2018
"Franklin County, Arkansas",11.3,40.1,23.1,7.6,9.0,2.8,82.6,05,047,05047,2018
"Pike County, Arkansas",8.9,38.9,23.5,7.7,8.4,6.3,84.8,05,109,05109,2018
"Jefferson County, Arkansas",9.6,38.5,23.5,6.2,11.3,6.5,86.0,05,069,05069,2018
"Montgomery County, Arkansas",13.8,36.5,23.6,7.3,5.8,4.9,78.2,05,097,05097,2018
"Scott County, Arkansas",14.6,43.0,20.0,6.8,4.8,4.3,78.9,05,127,05127,2018
"Sebastian County, Arkansas",10.0,32.0,23.8,7.7,13.3,6.4,83.2,05,131,05131,2018
"Crawford County, Arkansas",9.7,37.4,24.2,8.2,10.5,4.8,85.2,05,033,05033,2018
"Chicot County, Arkansas",13.4,39.2,21.5,5.2,10.6,4.1,80.7,05,017,05017,2018
"Johnson County, Arkansas",12.5,41.2,17.6,4.7,10.3,5.5,79.4,05,071,05071,2018
"Lee County, Arkansas",19.5,40.8,18.8,4.4,6.7,2.2,73.0,05,077,05077,2018
"Camden County, Missouri",8.1,37.7,20.9,8.8,13.8,8.0,89.1,29,029,29029,2018
"Jefferson County, Missouri",8.5,31.8,25.2,11.7,13.5,6.6,88.8,29,099,29099,2018
"New Madrid County, Missouri",15.8,44.3,17.2,3.8,7.1,5.6,78.0,29,143,29143,2018
"Ralls County, Missouri",6.8,49.0,18.9,7.0,8.7,4.9,88.6,29,173,29173,2018
"Custer County, Montana",4.2,29.7,27.5,13.0,15.0,7.4,92.6,30,017,30017,2018
