County,Unemployment Rate Percentage,State ID,County ID
"Benton County, Tennessee",9.1,47,005,47005
"Warren County, Tennessee",6.8,47,177,47177
"Washington County, Tennessee",5.3,47,179,47179
"Weakley County, Tennessee",8.3,47,183,47183
"Bledsoe County, Tennessee",8.4,47,007,47007
"Campbell County, Tennessee",8.0,47,013,47013
"Cannon County, Tennessee",6.6,47,015,47015
"Houston County, Tennessee",6.6,47,083,47083
"Maury County, Tennessee",6.2,47,119,47119
"Polk County, Texas",8.5,48,373,48373
"Refugio County, Texas",7.9,48,391,48391
"Van Zandt County, Texas",5.9,48,467,48467
"Caldwell County, Texas",3.4,48,055,48055
"Wilbarger County, Texas",5.8,48,487,48487
"Martin County, Texas",1.9,48,317,48317
"Reagan County, Texas",3.9,48,383,48383
"Yoakum County, Texas",7.5,48,501,48501
"Hale County, Texas",6.4,48,189,48189
"Shelby County, Texas",7.4,48,419,48419
"Red River County, Texas",9.0,48,387,48387
"Runnels County, Texas",3.2,48,399,48399
"San Jacinto County, Texas",6.5,48,407,48407
"Sutton County, Texas",5.9,48,435,48435
"Tom Green County, Texas",3.8,48,451,48451
"Upshur County, Texas",8.3,48,459,48459
"Victoria County, Texas",5.1,48,469,48469
"Waller County, Texas",7.8,48,473,48473
"Wharton County, Texas",5.3,48,481,48481
"Wichita County, Texas",4.8,48,485,48485
"Wilson County, Texas",6.0,48,493,48493
"Borden County, Texas",1.5,48,033,48033
"Hockley County, Texas",7.4,48,219,48219
"Marion County, Texas",10.7,48,315,48315
"Maverick County, Texas",12.9,48,323,48323
"Midland County, Texas",3.5,48,329,48329
"Grayson County, Texas",6.5,48,181,48181
"Live Oak County, Texas",3.8,48,297,48297
"Llano County, Texas",8.3,48,299,48299
"Palo Pinto County, Texas",7.9,48,363,48363
"Fannin County, Texas",5.2,48,147,48147
"Karnes County, Texas",4.1,48,255,48255
"DeWitt County, Texas",6.5,48,123,48123
"Brazos County, Texas",4.7,48,041,48041
"Callahan County, Texas",3.5,48,059,48059
"Cass County, Texas",7.3,48,067,48067
"Gaines County, Texas",4.5,48,165,48165
"Gregg County, Texas",4.8,48,183,48183
"Gray County, Texas",4.9,48,179,48179
"Madison County, Texas",3.1,48,313,48313
"Lubbock County, Texas",4.8,48,303,48303
"Jack County, Texas",3.6,48,237,48237
"Kaufman County, Texas",6.5,48,257,48257
"Kendall County, Texas",4.4,48,259,48259
"Bosque County, Texas",5.2,48,035,48035
"Floyd County, Texas",6.4,48,153,48153
"Bexar County, Texas",6.1,48,029,48029
"Bailey County, Texas",2.2,48,017,48017
"Chambers County, Texas",6.5,48,071,48071
"Baylor County, Texas",2.3,48,023,48023
"Bell County, Texas",8.3,48,027,48027
"Cameron County, Texas",8.0,48,061,48061
"Denton County, Texas",4.5,48,121,48121
"Deaf Smith County, Texas",5.0,48,117,48117
"Galveston County, Texas",6.5,48,167,48167
"El Paso County, Texas",7.0,48,141,48141
"La Salle County, Texas",5.4,48,283,48283
"Roberts County, Texas",2.4,48,393,48393
"Terrell County, Texas",6.8,48,443,48443
"Tyler County, Texas",9.5,48,457,48457
"Uvalde County, Texas",5.9,48,463,48463
"Wheeler County, Texas",5.6,48,483,48483
"Bowie County, Texas",7.3,48,037,48037
"Archer County, Texas",3.0,48,009,48009
"Brewster County, Texas",7.1,48,043,48043
"Kent County, Texas",1.6,48,263,48263
"Hidalgo County, Texas",8.1,48,215,48215
"Smith County, Texas",6.5,48,423,48423
"Somervell County, Texas",2.8,48,425,48425
"Crockett County, Texas",2.4,48,105,48105
"Hardin County, Texas",4.4,48,199,48199
"Haskell County, Texas",9.5,48,207,48207
"Howard County, Texas",6.7,48,227,48227
"Leon County, Texas",7.1,48,289,48289
"Mills County, Texas",2.9,48,333,48333
"Montague County, Texas",6.6,48,337,48337
"Newton County, Texas",11.6,48,351,48351
"Panola County, Texas",3.8,48,365,48365
"Reeves County, Texas",8.0,48,389,48389
"Sabine County, Texas",7.1,48,403,48403
"Sherman County, Texas",1.5,48,421,48421
"Monroe County, Alabama",21.6,01,099,01099
"Lawrence County, Alabama",7.2,01,079,01079
"Lee County, Alabama",5.7,01,081,01081
"Marion County, Alabama",5.5,01,093,01093
"Pickens County, Alabama",12.2,01,107,01107
"Sumter County, Alabama",13.4,01,119,01119
"Jefferson County, Alabama",7.7,01,073,01073
"Choctaw County, Alabama",9.8,01,023,01023
"Franklin County, Alabama",8.2,01,059,01059
"Marengo County, Alabama",12.8,01,091,01091
"Russell County, Alabama",9.7,01,113,01113
"Cherokee County, Alabama",5.3,01,019,01019
"Covington County, Alabama",10.7,01,039,01039
"Crenshaw County, Alabama",6.4,01,041,01041
"Dallas County, Alabama",13.7,01,047,01047
"Lauderdale County, Alabama",6.6,01,077,01077
"Lowndes County, Alabama",11.2,01,085,01085
"Macon County, Alabama",14.5,01,087,01087
"Limestone County, Alabama",7.1,01,083,01083
"Shelby County, Alabama",4.3,01,117,01117
"St. Clair County, Alabama",5.8,01,115,01115
"Winston County, Alabama",9.4,01,133,01133
"Baldwin County, Alabama",5.5,01,003,01003
"Cullman County, Alabama",5.8,01,043,01043
"Elmore County, Alabama",7.3,01,051,01051
"Houston County, Alabama",7.6,01,069,01069
"Jackson County, Alabama",7.7,01,071,01071
"Talladega County, Alabama",10.0,01,121,01121
"Tuscaloosa County, Alabama",6.7,01,125,01125
"Washington County, Alabama",11.0,01,129,01129
"Clay County, Alabama",6.4,01,027,01027
"Coffee County, Alabama",6.0,01,031,01031
"Morgan County, Alabama",6.5,01,103,01103
"Pike County, Alabama",8.7,01,109,01109
"Chilton County, Alabama",6.7,01,021,01021
"Colbert County, Alabama",6.9,01,033,01033
"Sherburne County, Minnesota",3.6,27,141,27141
"Wadena County, Minnesota",5.8,27,159,27159
"Benton County, Minnesota",4.2,27,009,27009
"Carver County, Minnesota",2.4,27,019,27019
"Freeborn County, Minnesota",4.1,27,047,27047
"Itasca County, Minnesota",5.7,27,061,27061
"McLeod County, Minnesota",3.0,27,085,27085
"Pope County, Minnesota",3.0,27,121,27121
"Ramsey County, Minnesota",5.5,27,123,27123
"Stevens County, Minnesota",2.6,27,149,27149
"Swift County, Minnesota",3.3,27,151,27151
"Winona County, Minnesota",5.1,27,169,27169
"Cottonwood County, Minnesota",5.1,27,033,27033
"Scott County, Minnesota",3.5,27,139,27139
"Dodge County, Minnesota",2.9,27,039,27039
"Wabasha County, Minnesota",3.2,27,157,27157
"Pipestone County, Minnesota",4.2,27,117,27117
"Crow Wing County, Minnesota",3.5,27,035,27035
"Norman County, Minnesota",3.3,27,107,27107
"Wright County, Minnesota",3.6,27,171,27171
"Nicollet County, Minnesota",3.8,27,103,27103
"Douglas County, Minnesota",3.1,27,041,27041
"Grant County, Minnesota",4.8,27,051,27051
"Kittson County, Minnesota",2.6,27,069,27069
"Le Sueur County, Minnesota",3.9,27,079,27079
"Mahnomen County, Minnesota",9.2,27,087,27087
"Chisago County, Minnesota",4.2,27,025,27025
"Redwood County, Minnesota",3.0,27,127,27127
"Yellow Medicine County, Minnesota",2.7,27,173,27173
"Todd County, Minnesota",3.8,27,153,27153
"Beltrami County, Minnesota",8.7,27,007,27007
"Blue Earth County, Minnesota",4.5,27,013,27013
"Houston County, Minnesota",3.1,27,055,27055
"Lac qui Parle County, Minnesota",3.1,27,073,27073
"Lake of the Woods County, Minnesota",3.8,27,077,27077
"Otter Tail County, Minnesota",3.6,27,111,27111
"Waseca County, Minnesota",3.2,27,161,27161
"St. Louis County, Minnesota",5.1,27,137,27137
"Anoka County, Minnesota",4.2,27,003,27003
"Stearns County, Minnesota",4.5,27,145,27145
"Dakota County, Minnesota",4.0,27,037,27037
"Lincoln County, Minnesota",3.0,27,081,27081
"Lyon County, Minnesota",3.6,27,083,27083
"Marshall County, Minnesota",3.2,27,089,27089
"Mille Lacs County, Minnesota",6.6,27,095,27095
"Renville County, Minnesota",2.7,27,129,27129
"Washington County, Minnesota",3.5,27,163,27163
"Carlton County, Minnesota",3.9,27,017,27017
"Cook County, Minnesota",2.6,27,031,27031
"Kanabec County, Minnesota",5.2,27,065,27065
"Hansford County, Texas",3.8,48,195,48195
"Swisher County, Texas",5.9,48,437,48437
"Hunt County, Texas",6.5,48,231,48231
"Camp County, Texas",6.1,48,063,48063
"Guadalupe County, Texas",4.5,48,187,48187
"Clay County, Texas",7.2,48,077,48077
"Hartley County, Texas",1.2,48,205,48205
"Hill County, Texas",8.1,48,217,48217
"Limestone County, Texas",10.3,48,293,48293
"Nacogdoches County, Texas",8.6,48,347,48347
"Parmer County, Texas",2.8,48,369,48369
"Parker County, Texas",5.5,48,367,48367
"Presidio County, Texas",9.8,48,377,48377
"Val Verde County, Texas",6.6,48,465,48465
"Culberson County, Texas",5.3,48,109,48109
"Ector County, Texas",6.9,48,135,48135
"Garza County, Texas",2.0,48,169,48169
"Glasscock County, Texas",0.0,48,173,48173
"Grimes County, Texas",5.5,48,185,48185
"Travis County, Texas",4.5,48,453,48453
"Collin County, Texas",4.3,48,085,48085
"Angelina County, Texas",7.6,48,005,48005
"Collingsworth County, Texas",7.1,48,087,48087
"Cottle County, Texas",10.7,48,101,48101
"Hays County, Texas",5.3,48,209,48209
"Erath County, Texas",4.3,48,143,48143
"Brazoria County, Texas",4.9,48,039,48039
"Motley County, Texas",8.1,48,345,48345
"Donley County, Texas",4.6,48,129,48129
"Atascosa County, Texas",6.1,48,013,48013
"Coleman County, Texas",5.1,48,083,48083
"Nolan County, Texas",7.1,48,353,48353
"Hudspeth County, Texas",5.7,48,229,48229
"Medina County, Texas",5.3,48,325,48325
"Ward County, Texas",6.1,48,475,48475
"Henderson County, Texas",6.2,48,213,48213
