"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
4926,10.4,44241,Autauga County,2003,01,001
15753,10.1,41961,Baldwin County,2003,01,003
5717,22.2,26062,Barbour County,2003,01,005
3383,16.8,32924,Bibb County,2003,01,007
6503,11.9,37758,Blount County,2003,01,009
2569,26.5,20903,Bullock County,2003,01,011
4118,20.0,26951,Butler County,2003,01,013
18095,16.4,33137,Calhoun County,2003,01,015
5725,16.3,30844,Chambers County,2003,01,017
3699,15.3,32158,Cherokee County,2003,01,019
6159,14.9,34201,Chilton County,2003,01,021
2848,18.8,26829,Choctaw County,2003,01,023
5224,19.2,28644,Clarke County,2003,01,025
1947,14.0,29456,Clay County,2003,01,027
2008,14.0,32834,Cleburne County,2003,01,029
6091,13.7,35739,Coffee County,2003,01,031
7628,14.0,33550,Colbert County,2003,01,033
2966,22.1,23726,Conecuh County,2003,01,035
1523,13.5,29801,Coosa County,2003,01,037
6406,17.5,28670,Covington County,2003,01,039
2372,17.6,28358,Crenshaw County,2003,01,041
10445,13.3,34056,Cullman County,2003,01,043
7499,15.7,32774,Dale County,2003,01,045
11221,25.2,24456,Dallas County,2003,01,047
10055,15.1,31310,DeKalb County,2003,01,049
8233,12.4,42687,Elmore County,2003,01,051
6790,18.7,28608,Escambia County,2003,01,053
16034,15.7,31512,Etowah County,2003,01,055
2893,16.1,30216,Fayette County,2003,01,057
5312,17.4,28277,Franklin County,2003,01,059
4482,17.6,28040,Geneva County,2003,01,061
2429,25.1,21963,Greene County,2003,01,063
3557,20.8,26138,Hale County,2003,01,065
2700,16.3,31504,Henry County,2003,01,067
14098,15.3,35866,Houston County,2003,01,069
7713,14.4,33128,Jackson County,2003,01,071
93624,14.5,38305,Jefferson County,2003,01,073
2386,16.1,28913,Lamar County,2003,01,075
13455,15.6,34422,Lauderdale County,2003,01,077
4928,14.4,34195,Lawrence County,2003,01,079
17707,15.2,33550,Lee County,2003,01,081
7927,11.9,40901,Limestone County,2003,01,083
3109,23.5,24090,Lowndes County,2003,01,085
5421,26.0,22594,Macon County,2003,01,087
31157,10.9,48719,Madison County,2003,01,089
4442,20.2,28815,Marengo County,2003,01,091
4939,16.8,27227,Marion County,2003,01,093
12811,15.2,33756,Marshall County,2003,01,095
73097,18.5,32850,Mobile County,2003,01,097
4196,17.8,29027,Monroe County,2003,01,099
38173,18.0,35592,Montgomery County,2003,01,101
14792,13.2,39965,Morgan County,2003,01,103
3149,28.7,20630,Perry County,2003,01,105
3940,19.5,26895,Pickens County,2003,01,107
5830,20.4,26615,Pike County,2003,01,109
3458,15.7,29435,Randolph County,2003,01,111
9058,18.6,28547,Russell County,2003,01,113
8994,13.1,38713,St. Clair County,2003,01,115
11262,6.8,60894,Shelby County,2003,01,117
3711,26.6,20627,Sumter County,2003,01,119
12994,16.8,33191,Talladega County,2003,01,121
6403,16.1,30626,Tallapoosa County,2003,01,123
26368,16.5,35268,Tuscaloosa County,2003,01,125
10263,14.8,31298,Walker County,2003,01,127
3027,16.9,31198,Washington County,2003,01,129
3612,28.1,19633,Wilcox County,2003,01,131
4097,16.9,27430,Winston County,2003,01,133
321,11.9,39239,Aleutians East Borough,2003,02,013
385,7.2,50367,Aleutians West Census Area,2003,02,016
23108,8.7,55197,Anchorage Borough,2003,02,020
3442,20.7,35326,Bethel Census Area,2003,02,050
89,8.1,55876,Bristol Bay Borough,2003,02,060
124,6.7,52230,Denali Borough,2003,02,068
880,18.0,40477,Dillingham Census Area,2003,02,070
6438,7.7,52492,Fairbanks North Star Borough,2003,02,090
256,11.5,39003,Haines Borough,2003,02,100
2230,7.3,60024,Juneau Borough,2003,02,110
5001,9.9,48697,Kenai Peninsula Borough,2003,02,122
1057,8.1,50154,Ketchikan Gateway Borough,2003,02,130
1134,8.6,51809,Kodiak Island Borough,2003,02,150
262,16.6,32617,Lake and Peninsula Borough,2003,02,164
7481,10.5,54725,Matanuska-Susitna Borough,2003,02,170
1578,17.2,38925,Nome Census Area,2003,02,180
795,11.4,57822,North Slope Borough,2003,02,185
1270,16.9,42230,Northwest Arctic Borough,2003,02,188
798,13.8,35393,Prince of Wales-Outer Ketchikan Census Area,2003,02,201
666,7.7,51207,Sitka Borough,2003,02,220
363,11.6,41072,Skagway-Hoonah-Angoon Census Area,2003,02,232
941,15.9,40894,Southeast Fairbanks Census Area,2003,02,240
900,9.1,50408,Valdez-Cordova Census Area,2003,02,261
1866,24.9,27650,Wade Hampton Census Area,2003,02,270
561,8.9,45724,Wrangell-Petersburg Census Area,2003,02,280
73,10.5,40404,Yakutat Borough,2003,02,282
1106,17.5,29952,Yukon-Koyukuk Census Area,2003,02,290
18702,27.6,25558,Apache County,2003,04,001
19349,16.3,34801,Cochise County,2003,04,003
18655,15.6,39034,Coconino County,2003,04,005
8658,17.2,31780,Gila County,2003,04,007
6100,20.5,30040,Graham County,2003,04,009
830,11.1,41032,Greenlee County,2003,04,011
3385,17.2,25807,La Paz County,2003,04,012
441835,12.8,46376,Maricopa County,2003,04,013
26438,14.8,32505,Mohave County,2003,04,015
22416,21.5,30078,Navajo County,2003,04,017
126844,14.3,37540,Pima County,2003,04,019
29029,14.6,37869,Pinal County,2003,04,021
7803,19.2,32070,Santa Cruz County,2003,04,023
22491,12.0,35303,Yavapai County,2003,04,025
30469,17.9,32645,Yuma County,2003,04,027
3447,17.3,32448,Arkansas County,2003,05,001
4201,17.9,32485,Ashley County,2003,05,003
5380,13.7,30521,Baxter County,2003,05,005
17760,10.0,45353,Benton County,2003,05,007
5367,15.4,31626,Boone County,2003,05,009
2464,20.5,26593,Bradley County,2003,05,011
796,14.6,29940,Calhoun County,2003,05,013
4059,15.4,27796,Carroll County,2003,05,015
3553,28.2,22088,Chicot County,2003,05,017
3673,17.3,29970,Clark County,2003,05,019
2855,17.1,27217,Clay County,2003,05,021
3582,14.4,32341,Cleburne County,2003,05,023
1264,14.2,34724,Cleveland County,2003,05,025
4857,20.4,29275,Columbia County,2003,05,027
3375,16.5,31779,Conway County,2003,05,029
13361,15.8,34821,Craighead County,2003,05,031
7736,13.7,35138,Crawford County,2003,05,033
11550,22.6,30546,Crittenden County,2003,05,035
3718,19.7,30356,Cross County,2003,05,037
1555,18.8,26633,Dallas County,2003,05,039
3406,23.3,25822,Desha County,2003,05,041
3334,18.5,29817,Drew County,2003,05,043
11641,12.8,40395,Faulkner County,2003,05,045
2932,16.4,31307,Franklin County,2003,05,047
2159,18.2,26687,Fulton County,2003,05,049
14567,16.0,32064,Garland County,2003,05,051
1862,10.9,40375,Grant County,2003,05,053
5945,15.4,33001,Greene County,2003,05,055
4440,19.1,27614,Hempstead County,2003,05,057
4562,15.0,32498,Hot Spring County,2003,05,059
2235,15.7,27569,Howard County,2003,05,061
5045,14.9,32910,Independence County,2003,05,063
2282,18.1,26293,Izard County,2003,05,065
3244,20.7,26246,Jackson County,2003,05,067
16310,21.0,31211,Jefferson County,2003,05,069
3964,17.1,28791,Johnson County,2003,05,071
1682,20.7,24399,Lafayette County,2003,05,073
3221,19.0,27899,Lawrence County,2003,05,075
2943,29.4,21891,Lee County,2003,05,077
2506,23.5,28405,Lincoln County,2003,05,079
2025,15.4,30014,Little River County,2003,05,081
3698,16.4,29613,Logan County,2003,05,083
6262,10.7,42953,Lonoke County,2003,05,085
2486,17.0,28515,Madison County,2003,05,087
2781,17.1,27187,Marion County,2003,05,089
7446,17.9,32209,Miller County,2003,05,091
10707,22.4,27844,Mississippi County,2003,05,093
2164,23.2,24069,Monroe County,2003,05,095
1592,17.3,27109,Montgomery County,2003,05,097
1845,19.5,27029,Nevada County,2003,05,099
1690,20.0,25886,Newton County,2003,05,101
5097,18.7,29574,Ouachita County,2003,05,103
1532,14.8,32198,Perry County,2003,05,105
6903,28.6,22660,Phillips County,2003,05,107
1687,15.6,29172,Pike County,2003,05,109
5151,20.6,27718,Poinsett County,2003,05,111
3826,19.2,25699,Polk County,2003,05,113
8913,16.5,32990,Pope County,2003,05,115
1404,15.5,30885,Prairie County,2003,05,117
54593,15.1,39325,Pulaski County,2003,05,119
3139,17.3,28598,Randolph County,2003,05,121
