"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID,Full County ID
5471,13.4,34842,Autauga County,1995,01,001,01001
15494,12.4,35014,Baldwin County,1995,01,003,01003
6423,24.9,24423,Barbour County,1995,01,005,01005
3313,18.1,26651,Bibb County,1995,01,007,01007
6041,13.7,30584,Blount County,1995,01,009,01009
3524,33.7,19063,Bullock County,1995,01,011,01011
5540,25.4,21918,Butler County,1995,01,013,01013
20008,17.5,27265,Calhoun County,1995,01,015,01015
6828,18.4,25571,Chambers County,1995,01,017,01017
3420,15.8,26719,Cherokee County,1995,01,019,01019
6256,17.5,28524,Chilton County,1995,01,021,01021
3770,23.6,23193,Choctaw County,1995,01,023,01023
6571,23.3,25078,Clarke County,1995,01,025,01025
2004,14.7,25737,Clay County,1995,01,027,01027
2096,15.3,26852,Cleburne County,1995,01,029,01029
6305,14.9,29569,Coffee County,1995,01,031,01031
7495,14.1,29080,Colbert County,1995,01,033,01033
3982,28.0,21610,Conecuh County,1995,01,035,01035
1830,16.1,25003,Coosa County,1995,01,037,01037
7901,20.9,24201,Covington County,1995,01,039,01039
3010,22.0,21926,Crenshaw County,1995,01,041,01041
10323,13.9,28824,Cullman County,1995,01,043,01043
8393,17.3,28578,Dale County,1995,01,045,01045
16046,33.8,21297,Dallas County,1995,01,047,01047
9527,16.5,26955,DeKalb County,1995,01,049,01049
7626,13.7,34013,Elmore County,1995,01,051,01051
8331,23.8,24341,Escambia County,1995,01,053,01053
18272,17.8,27413,Etowah County,1995,01,055,01055
3177,17.4,26629,Fayette County,1995,01,057,01057
5027,17.0,26003,Franklin County,1995,01,059,01059
4748,18.9,24586,Geneva County,1995,01,061,01061
4019,40.1,16274,Greene County,1995,01,063,01063
5037,30.8,19815,Hale County,1995,01,065,01065
2828,18.4,26589,Henry County,1995,01,067,01067
14361,17.0,30673,Houston County,1995,01,069,01069
8154,15.9,28691,Jackson County,1995,01,071,01071
105779,16.0,32632,Jefferson County,1995,01,073,01073
2840,18.0,25876,Lamar County,1995,01,075,01075
