County,Unemployment Rate Percentage,State ID,County ID
"Jefferson County, Idaho",(X),16,051
"Jerome County, Idaho",(X),16,053
"Kootenai County, Idaho",(X),16,055
"Latah County, Idaho",(X),16,057
"Lemhi County, Idaho",(X),16,059
"Lewis County, Idaho",(X),16,061
"Lincoln County, Idaho",(X),16,063
"Madison County, Idaho",(X),16,065
"Minidoka County, Idaho",(X),16,067
"Nez Perce County, Idaho",(X),16,069
"Oneida County, Idaho",(X),16,071
"Owyhee County, Idaho",(X),16,073
"Payette County, Idaho",(X),16,075
"Power County, Idaho",(X),16,077
"Shoshone County, Idaho",(X),16,079
"Teton County, Idaho",(X),16,081
"Twin Falls County, Idaho",(X),16,083
"Valley County, Idaho",(X),16,085
"Washington County, Idaho",(X),16,087
"Adams County, Illinois",(X),17,001
"Alexander County, Illinois",(X),17,003
"Bond County, Illinois",(X),17,005
"Boone County, Illinois",(X),17,007
"Brown County, Illinois",(X),17,009
"Bureau County, Illinois",(X),17,011
"Calhoun County, Illinois",(X),17,013
"Carroll County, Illinois",(X),17,015
"Cass County, Illinois",(X),17,017
"Champaign County, Illinois",(X),17,019
"Christian County, Illinois",(X),17,021
"Clark County, Illinois",(X),17,023
"Clay County, Illinois",(X),17,025
"Clinton County, Illinois",(X),17,027
"Coles County, Illinois",(X),17,029
"Cook County, Illinois",(X),17,031
"Crawford County, Illinois",(X),17,033
"Cumberland County, Illinois",(X),17,035
"DeKalb County, Illinois",(X),17,037
"De Witt County, Illinois",(X),17,039
"Douglas County, Illinois",(X),17,041
"DuPage County, Illinois",(X),17,043
"Edgar County, Illinois",(X),17,045
"Edwards County, Illinois",(X),17,047
"Effingham County, Illinois",(X),17,049
"Fayette County, Illinois",(X),17,051
"Ford County, Illinois",(X),17,053
"Franklin County, Illinois",(X),17,055
"Fulton County, Illinois",(X),17,057
"Gallatin County, Illinois",(X),17,059
"Greene County, Illinois",(X),17,061
"Grundy County, Illinois",(X),17,063
"Hamilton County, Illinois",(X),17,065
"Hancock County, Illinois",(X),17,067
"Hardin County, Illinois",(X),17,069
"Henderson County, Illinois",(X),17,071
"Henry County, Illinois",(X),17,073
