"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
5471,13.4,34842,Autauga County,1995,1,1
15494,12.4,35014,Baldwin County,1995,1,3
6423,24.9,24423,Barbour County,1995,1,5
3313,18.1,26651,Bibb County,1995,1,7
6041,13.7,30584,Blount County,1995,1,9
3524,33.7,19063,Bullock County,1995,1,11
5540,25.4,21918,Butler County,1995,1,13
20008,17.5,27265,Calhoun County,1995,1,15
6828,18.4,25571,Chambers County,1995,1,17
3420,15.8,26719,Cherokee County,1995,1,19
6256,17.5,28524,Chilton County,1995,1,21
3770,23.6,23193,Choctaw County,1995,1,23
6571,23.3,25078,Clarke County,1995,1,25
2004,14.7,25737,Clay County,1995,1,27
2096,15.3,26852,Cleburne County,1995,1,29
6305,14.9,29569,Coffee County,1995,1,31
7495,14.1,29080,Colbert County,1995,1,33
3982,28,21610,Conecuh County,1995,1,35
1830,16.1,25003,Coosa County,1995,1,37
7901,20.9,24201,Covington County,1995,1,39
3010,22,21926,Crenshaw County,1995,1,41
10323,13.9,28824,Cullman County,1995,1,43
8393,17.3,28578,Dale County,1995,1,45
16046,33.8,21297,Dallas County,1995,1,47
9527,16.5,26955,DeKalb County,1995,1,49
7626,13.7,34013,Elmore County,1995,1,51
8331,23.8,24341,Escambia County,1995,1,53
18272,17.8,27413,Etowah County,1995,1,55
3177,17.4,26629,Fayette County,1995,1,57
5027,17,26003,Franklin County,1995,1,59
4748,18.9,24586,Geneva County,1995,1,61
4019,40.1,16274,Greene County,1995,1,63
5037,30.8,19815,Hale County,1995,1,65
2828,18.4,26589,Henry County,1995,1,67
14361,17,30673,Houston County,1995,1,69
8154,15.9,28691,Jackson County,1995,1,71
105779,16,32632,Jefferson County,1995,1,73
2840,18,25876,Lamar County,1995,1,75
11308,13.5,31663,Lauderdale County,1995,1,77
5546,16.6,29765,Lawrence County,1995,1,79
16457,17.8,29288,Lee County,1995,1,81
